identity,prefix,nick,first,last,suffix,email,phone,phone2,managedBy,priority,bunit,category,watchlist,startDate,endDate,work_city,work_country,work_lat,work_long
,Mr.,,Martin,Awe,,mawe@acmetech.com,+1 (800)555-1562,+1 (800)555-3327,,critical,americas,,,5/1/2003 0:17,,San Jose,USA,37.3382N,121.8863W
,,Nene,Ranee,Majcher,,rmajcher@acmetech.com,+1 (800)555-8762,+1 (800)555-8549,,,americas,contractor,,9/15/96 1:55,,San Jose,USA,37.3382N,121.8863W
,Ms.,,Elouise,Jennifer,,ejennifer@acmetech.com,+1 (800)555-7388,+1 (800)555-2669,,,americas,,,132388260,,San Jose,USA,37.3382N,121.8863W
,Mrs.,,Larisa,Kerst,,lkerst@acmetech.com,+1 (800)555-4897,+1 (800)555-4311,pepper,low,americas,,,12/12/2004 17:31,,San Jose,USA,37.3382N,121.8863W
,Miss,,Miki,Pickle,,mpickle@acmetech.com,+1 (800)555-5501,+1 (800)555-7321,,medium,americas,pci,,8/29/99 2:51,,San Jose,USA,37.3382N,121.8863W
pepper|a.koski,Dr.,Al,Allen,Seykoski,,aseykoski@acmetech.com,+1 (800)555-2111,+1 (800)555-9996,,high,americas,,TRUE,1058023800,1215892140,San Francisco,USA,37.78N,122.41W
,,,Renda,Mckittrick,,rmckittrick@acmetech.com,+1 (800)555-8072,+1 (800)555-2031,,critical,americas,,,10/28/1983 0:27,,San Francisco,USA,37.78N,122.41W
,Ms.,,Katharine,Willetts,,kwilletts@acmetech.com,+1 (800)555-7596,+1 (800)555-4546,,,americas,intern,,2/13/77 23:14,,San Francisco,USA,37.78N,122.41W
,Mrs.,,Germaine,Largin,,glargin@acmetech.com,+1 (800)555-3243,+1 (800)555-6764,,,americas,,,377537400,,San Francisco,USA,37.78N,122.41W
,Miss,,Roma,Aceuedo,,raceuedo@acmetech.com,+1 (800)555-1052,+1 (800)555-6529,,low,americas,,TRUE,5/12/1988 19:55,,San Francisco,USA,37.78N,122.41W
money|journot,Dr.,,Latoyia,Journot,,ljournot@acmetech.com,+1 (800)555-3479,+1 (800)555-1554,,medium,americas,,,3/2/88 2:39,3/8/01 6:21,San Francisco,USA,37.78N,122.41W
,,,Elissa,Whitmoyer,,ewhitmoyer@acmetech.com,+1 (800)555-9812,+1 (800)555-7122,,high,americas,pci|cardholder,,342707520,,San Francisco,USA,37.78N,122.41W
,Ms.,,Raylene,Cloward,,rcloward@acmetech.com,+1 (800)555-9908,+1 (800)555-5055,money,critical,americas,officer|pip,,12/23/1994 16:10,,San Francisco,USA,37.78N,122.41W
,Mrs.,,Keena,Horstman,,khorstman@acmetech.com,+1 (800)555-4711,+1 (800)555-9586,,,americas,,,1/8/88 23:06,,San Francisco,USA,37.78N,122.41W
,Miss,Turtle,Edwina,Berdan,,eberdan@acmetech.com,+1 (800)555-2243,+1 (800)555-7697,,,americas,contractor,,1208450280,,San Francisco,USA,37.78N,122.41W
lurker,Dr.,,Karey,Floe,,kfloe@acmetech.com,+1 (800)555-1167,+1 (800)555-9058,,low,americas,,,2/7/1972 16:54,2/7/2002 10:43,San Jose,USA,37.3382N,121.8863W
,,,Manie,Infield,,minfield@acmetech.com,+1 (800)555-6705,+1 (800)555-1910,,medium,americas,,,4/11/81 12:43,,San Jose,USA,37.3382N,121.8863W
,Ms.,,Lashunda,Borkoski,,lborkoski@acmetech.com,+1 (800)555-6310,+1 (800)555-3184,money,high,americas,pip,,585282060,,San Jose,USA,37.3382N,121.8863W
,Mrs.,Marty,Martin,Grieves,,mgrieves@acmetech.com,+1 (800)555-3560,+1 (800)555-3777,,critical,americas,,,7/7/2003 0:17,,San Jose,USA,37.3382N,121.8863W
,Miss,,Cathi,Piening,,cpiening@acmetech.com,+1 (800)555-4219,+1 (800)555-1444,,,americas,,,6/28/71 1:42,,San Jose,USA,37.3382N,121.8863W
goose|senashouts,Dr.,,Sena,Shouts,,sshouts@acmetech.com,+1 (800)555-6233,+1 (800)555-9152,,,americas,,,281538060,,San Jose,USA,37.3382N,121.8863W
,,,Afton,Trisler,,atrisler@acmetech.com,+1 (800)555-8924,+1 (800)555-2267,,low,americas,intern,,10/20/1996 16:04,,San Jose,USA,37.3382N,121.8863W
,Ms.,,Consuela,Argento,,cargento@acmetech.com,+1 (800)555-5699,+1 (800)555-9399,,medium,americas,,,10/2/75 16:55,7/25/83 1:03,Istanbul,Turkey,41.0136N,28.9550E
