bunit,category,email,endDate,first,identity,identity_id,identity_tag,key,last,managedBy,nick,phone,phone2,prefix,priority,startDate,suffix,watchlist,work_city,work_country,work_lat,work_long,__mv_category,__mv_identity,__mv_identity_tag,__mv_key
,"default
privileged",,,,3comcso,7c006ad9c18ffcb6a989d507c176eaef6fb2bb10,"default
privileged",3comcso,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,adfexc,404cc36737c00e68441dc37b07e62dffd69213ae,"default
privileged",adfexc,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,adm,42ef63e7836ef622d9185c1a456051edf16095cc,"default
privileged",adm,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,"admin
administrator",4ad56b1faebcc42e3df4bcb5d810870ef5cb7081,"default
privileged","admin
administrator",,,,,,,,,,false,,,,,$default$;$privileged$,$admin$;$administrator$,$default$;$privileged$,$admin$;$administrator$
,"default
privileged",,,,anonymous,0a92fab3230134cca6eadd9898325b9b2ae67998,"default
privileged",anonymous,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,adminuser,6f372c90822f7de721f3e6edc42653a746e81d90,"default
privileged",adminuser,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,advmail,e2af2840555c5e6f390eff4923b16ff5e8b601bd,"default
privileged",advmail,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,bciim,f4a6b2462b06c00437a2d8b80ffb1c9c0b9f360f,"default
privileged",bciim,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,bcms,951f6c75e2cf5ef1a6a78346a21d8eacdba5f372,"default
privileged",bcms,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,browse,0f6a24fa439e992bc7919aa2d949c05077899adc,"default
privileged",browse,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,cisco,7af78c911d5b48bea1dc2449d9d89513abeb4be5,"default
privileged",cisco,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,cusadmin,8f198fad85c1ade2c1fa575158726672d789eeea,"default
privileged",cusadmin,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,cust,4e72d9caec529c5cadf0a9dd5d3799831ce631f6,"default
privileged",cust,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,deskalt,53bf2d7819647033085ccc6324d8c579ebdabb47,"default
privileged",deskalt,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,oracle,431364b6450fc47ccdbf6a2205dfdb1baeb79412,"default
privileged",oracle,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,dhs3mt,60847cc0923894cf383b49dc9c06b4e9276da3b0,"default
privileged",dhs3mt,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,ftp_oper,daa19bba71b8aeb62773e0064860e1b1d5205259,"default
privileged",ftp_oper,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,gearguy,5c4849439ad2d19e2ee637ecdbdb01f8696712b9,"default
privileged",gearguy,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,globaladmin,7079dc79312fd341310d4d791c0a7f1a534eafa5,"default
privileged",globaladmin,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,guest,35675e68f4b5af7b995d9205ad0fc43842f16450,"default
privileged",guest,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,halt,c4bb896961f2dfd5f739d87783887e08f07bb4d6,"default
privileged",halt,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,hello,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,"default
privileged",hello,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,hscroot,f1682b6a305642c6a5d819b696220b767b2059a3,"default
privileged",hscroot,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,intrastack,43a4cf25f755da297e6cd4ff766f49a48a479c62,"default
privileged",intrastack,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,default,,,,local service,e2433ce0dd7fd8e1087eaebd1dfd70c3f987eb96,default,local service,,,,,,,,,,false,,,,,,,,
,"default
privileged",,,,m1122,db70a20f403dad43acbcdc0290862079d7300f7e,"default
privileged",m1122,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,maintainer,86416ef3eeb4cc907ebcd12c0305511b4cfc5474,"default
privileged",maintainer,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,md110,af7876fd0d274701971979c0f1263f6806c8a27f,"default
privileged",md110,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,mgr,5bfcfbe428cce428952787978643f2a5993438aa,"default
privileged",mgr,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,monitor,9796809f7dae482d3123c16585f2b60f97407796,"default
privileged",monitor,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,mtcl,3a5a5e2dd95c6b30b1559d2c5c935f358b5b575e,"default
privileged",mtcl,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,default,,,,network service,6a2a9203103b3799bfa9e440e6e165690501425f,default,network service,,,,,,,,,,false,,,,,,,,
,"default
privileged",,,,pmd,c81269ae161552203480cf6b9792002c0e728622,"default
privileged",pmd,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,public,61c9b2b17db77a27841bbeeabff923448b0f6388,"default
privileged",public,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,private,e80721793c24ae14edfca9b26ad406a9815cd3ff,"default
privileged",private,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,readonly,9a27718297218c3757c365d357d13f49d0fa3065,"default
privileged",readonly,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,recovery,8b60e9d739b5a5bfd87cbfe67501ab4fa6e41504,"default
privileged",recovery,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,root,dc76e9f0c0006e8f919e0c515c66dbba3982f785,"default
privileged",root,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,toor,435b41068e8665513a20070c033b08b9c66e4332,"default
privileged",toor,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,rsbcmon,0a51c4a57bcd3cd6edeec70cb5a4967478092f91,"default
privileged",rsbcmon,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,spoolman,f6d531fd1e971de349f57230e2eac189321d6dca,"default
privileged",spoolman,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,superadmin,889a3a791b3875cfae413574b53da4bb8a90d53e,"default
privileged",superadmin,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,supervisor,0f4d09e43d208d5e9222322fbc7091ceea1a78c3,"default
privileged",supervisor,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,sysadm,fc6783b3cabd4c09ac7a7da84529f783c0e11eb2,"default
privileged",sysadm,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,system,317f1e761f2faa8da781a4762b9dcc2c5cad209a,"default
privileged",system,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,system/manager,70206cdac4f8b15fb3b8508f2285007cf60d3a68,"default
privileged",system/manager,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,tech,c95ee47689a0aaec70c3eb950244657722c69b1f,"default
privileged",tech,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,technician,55d25800fb82ba29a267c932300aaa8a19767b75,"default
privileged",technician,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,userid,41ae991308a4fc90e0d39520e1e9bf81c8029e8e,"default
privileged",userid,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,vt100,4c3abaee7fd2b2e5de43fd44ecafd69a39d32c3f,"default
privileged",vt100,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,websecadm,020a2df7f20282834094f79dc26798042be42ab9,"default
privileged",websecadm,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,wlseuser,7cc7ede037c18d63f1290bd6d07b8190aab95314,"default
privileged",wlseuser,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
,"default
privileged",,,,wp,c77da256bcb78fe5b523000c6f95bec2563677d7,"default
privileged",wp,,,,,,,,,,false,,,,,$default$;$privileged$,,$default$;$privileged$,
americas,,mawe@acmetech.com,,Martin,"mawe@acmetech.com
mawe",465e0da922b0ba14841cc6b5cf221c88318bc9f1,americas,"mawe@acmetech.com
mawe",Awe,,,+1 (800)555-1562,+1 (800)555-3327,Mr.,critical,5/1/2003 0:17,,false,San Jose,USA,37.3382N,121.8863W,,$mawe@acmetech.com$;$mawe$,,$mawe@acmetech.com$;$mawe$
americas,contractor,rmajcher@acmetech.com,,Ranee,"rmajcher@acmetech.com
rmajcher",691000967dcb7625ad5f8eca09b29baa37676ba1,"contractor
americas","rmajcher@acmetech.com
rmajcher",Majcher,,Nene,+1 (800)555-8762,+1 (800)555-8549,,,9/15/96 1:55,,false,San Jose,USA,37.3382N,121.8863W,,$rmajcher@acmetech.com$;$rmajcher$,$contractor$;$americas$,$rmajcher@acmetech.com$;$rmajcher$
americas,,ejennifer@acmetech.com,,Elouise,"ejennifer@acmetech.com
ejennifer",440b54ff4cfec1e471faabb2767c62e361624df2,americas,"ejennifer@acmetech.com
ejennifer",Jennifer,,,+1 (800)555-7388,+1 (800)555-2669,Ms.,,132388260,,false,San Jose,USA,37.3382N,121.8863W,,$ejennifer@acmetech.com$;$ejennifer$,,$ejennifer@acmetech.com$;$ejennifer$
americas,,lkerst@acmetech.com,,Larisa,"lkerst@acmetech.com
lkerst",7d27be3fe0e04a09340d12d90251a208221c3b3d,americas,"lkerst@acmetech.com
lkerst",Kerst,pepper,,+1 (800)555-4897,+1 (800)555-4311,Mrs.,low,12/12/2004 17:31,,false,San Jose,USA,37.3382N,121.8863W,,$lkerst@acmetech.com$;$lkerst$,,$lkerst@acmetech.com$;$lkerst$
americas,pci,mpickle@acmetech.com,,Miki,"mpickle@acmetech.com
mpickle",afa0e4ad8cc787d2ae586c74e497f3cad66c8f75,"pci
americas","mpickle@acmetech.com
mpickle",Pickle,,,+1 (800)555-5501,+1 (800)555-7321,Miss,medium,8/29/99 2:51,,false,San Jose,USA,37.3382N,121.8863W,,$mpickle@acmetech.com$;$mpickle$,$pci$;$americas$,$mpickle@acmetech.com$;$mpickle$
americas,,aseykoski@acmetech.com,1215892140,Allen,"pepper
a.koski
aseykoski@acmetech.com
aseykoski",f0400da71dfd52cb225a8393f7c48fbfd515b4ac,"watchlist
americas","pepper
a.koski
aseykoski@acmetech.com
aseykoski",Seykoski,,Al,+1 (800)555-2111,+1 (800)555-9996,Dr.,high,1058023800,,true,San Francisco,USA,37.78N,122.41W,,$pepper$;$a.koski$;$aseykoski@acmetech.com$;$aseykoski$,$watchlist$;$americas$,$pepper$;$a.koski$;$aseykoski@acmetech.com$;$aseykoski$
americas,,rmckittrick@acmetech.com,,Renda,"rmckittrick@acmetech.com
rmckittrick",5b17af2979415c9ddb9e7d71d4a29294f5e13116,americas,"rmckittrick@acmetech.com
rmckittrick",Mckittrick,,,+1 (800)555-8072,+1 (800)555-2031,,critical,10/28/1983 0:27,,false,San Francisco,USA,37.78N,122.41W,,$rmckittrick@acmetech.com$;$rmckittrick$,,$rmckittrick@acmetech.com$;$rmckittrick$
americas,intern,kwilletts@acmetech.com,,Katharine,"kwilletts@acmetech.com
kwilletts",883cb87ff1f8e9a22ecacfa39511cf26ccc17d2a,"intern
americas","kwilletts@acmetech.com
kwilletts",Willetts,,,+1 (800)555-7596,+1 (800)555-4546,Ms.,,2/13/77 23:14,,false,San Francisco,USA,37.78N,122.41W,,$kwilletts@acmetech.com$;$kwilletts$,$intern$;$americas$,$kwilletts@acmetech.com$;$kwilletts$
americas,,glargin@acmetech.com,,Germaine,"glargin@acmetech.com
glargin",b140aedde87b5cdc2b31095d26fdf390c719537f,americas,"glargin@acmetech.com
glargin",Largin,,,+1 (800)555-3243,+1 (800)555-6764,Mrs.,,377537400,,false,San Francisco,USA,37.78N,122.41W,,$glargin@acmetech.com$;$glargin$,,$glargin@acmetech.com$;$glargin$
americas,,raceuedo@acmetech.com,,Roma,"raceuedo@acmetech.com
raceuedo",0b332548f4dae8af94a0a5c41b9786c91884d308,"watchlist
americas","raceuedo@acmetech.com
raceuedo",Aceuedo,,,+1 (800)555-1052,+1 (800)555-6529,Miss,low,5/12/1988 19:55,,true,San Francisco,USA,37.78N,122.41W,,$raceuedo@acmetech.com$;$raceuedo$,$watchlist$;$americas$,$raceuedo@acmetech.com$;$raceuedo$
